epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,217.254,0.57478,0.45301,0.953,0.74887,0.89769,0.87987,0.57316,1.33138,0.90451,1.47344,6.19662e-05,6.19662e-05,6.19662e-05
131,218.848,0.56975,0.45783,0.93373,0.74338,0.89853,0.88044,0.56952,1.32452,0.89316,1.47501,5.9214e-05,5.9214e-05,5.9214e-05
132,220.398,0.59938,0.4726,0.96175,0.74338,0.89853,0.88044,0.56952,1.32452,0.89316,1.47501,5.64618e-05,5.64618e-05,5.64618e-05
133,221.954,0.61405,0.49407,0.97893,0.76155,0.91204,0.88582,0.57678,1.318,0.90441,1.47446,5.37096e-05,5.37096e-05,5.37096e-05
134,223.57,0.61945,0.47158,0.95981,0.76155,0.91204,0.88582,0.57678,1.318,0.90441,1.47446,5.09574e-05,5.09574e-05,5.09574e-05
135,225.517,0.58024,0.4709,0.96296,0.76032,0.91266,0.90181,0.58473,1.31336,0.91883,1.47494,4.82052e-05,4.82052e-05,4.82052e-05
136,227.06,0.62741,0.455,0.96188,0.76032,0.91266,0.90181,0.58473,1.31336,0.91883,1.47494,4.5453e-05,4.5453e-05,4.5453e-05
137,228.611,0.56177,0.44804,0.93836,0.75444,0.91241,0.89868,0.58347,1.30842,0.92572,1.47291,4.27008e-05,4.27008e-05,4.27008e-05
138,230.158,0.54347,0.4216,0.92923,0.75444,0.91241,0.89868,0.58347,1.30842,0.92572,1.47291,3.99486e-05,3.99486e-05,3.99486e-05
139,231.724,0.57027,0.43195,0.94911,0.72938,0.88453,0.88695,0.57836,1.30765,0.92933,1.47068,3.71964e-05,3.71964e-05,3.71964e-05
140,233.295,0.57134,0.45852,0.94439,0.72938,0.88453,0.88695,0.57836,1.30765,0.92933,1.47068,3.44442e-05,3.44442e-05,3.44442e-05
141,246.037,0.5283,0.43254,0.89856,0.74258,0.88438,0.88667,0.57276,1.31644,0.92619,1.47759,3.1692e-05,3.1692e-05,3.1692e-05
142,247.575,0.53549,0.43942,0.89779,0.74258,0.88438,0.88667,0.57276,1.31644,0.92619,1.47759,2.89398e-05,2.89398e-05,2.89398e-05
143,249.165,0.54222,0.4334,0.91371,0.74646,0.88477,0.88041,0.57866,1.3146,0.9306,1.46365,2.61876e-05,2.61876e-05,2.61876e-05
144,250.727,0.52967,0.42426,0.89164,0.74646,0.88477,0.88041,0.57866,1.3146,0.9306,1.46365,2.34354e-05,2.34354e-05,2.34354e-05
145,252.298,0.52025,0.42312,0.88865,0.74873,0.88564,0.87646,0.58013,1.31997,0.93059,1.46865,2.06832e-05,2.06832e-05,2.06832e-05
